항목명1,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        바나나,171.573,78.29,55.689,53.589,52.399,52.719,58.874,60.925,88.578,68.411,57.253,57.477,67.686,65.258,63.46,63.712,64.132,62.9,68.846,85.716,77.881,76.018,76.659,95.13,97.016,100,112.52,108.79,106.59,108.03
        키위,,,,,,,,,,,,,,,,94.274,86.732,85.75,82.592,89.34,92.946,96.648,102.503,97.529,105.282,100,90.29,92.91,92.19,94.03
        블루베리,,,,,,,,,,,,,,,,,,,,,,,,,,100,96.56,96.91,96.57,91
        아몬드,,,,,,,,,,,,,,,,,,,,,,,,,,100,97.95,92.74,92.02,89.5
        과일가공품,37.257,43.717,45.412,50.109,52.396,55.087,58.746,60.303,72.329,73.973,70.785,69.729,69.221,67.835,70.732,75.458,75.652,75.665,74.753,75.401,73.559,81.558,99.653,100.568,101.118,100,103.52,104.48,104.44,106.53
        배추,28.187,29.911,37.244,39.681,48.595,49.393,51.064,51.196,57.069,64.793,94.79,77.05,81.718,111.74,84.878,88.219,112.457,101.65,79.081,89.887,162.536,132.778,131.869,157.685,88.453,100,169.62,138.53,141.15,124.55
        상추,22.01,22.902,22.665,31.423,36.745,31.305,35.004,36.489,43.379,47.824,48.986,54.783,59.964,69.199,65.1,73.879,76.846,86.388,66.615,78.219,107.39,88.416,106.35,101.972,87.117,100,117.19,119.57,131.89,126.26
        시금치,25.75,30.154,28.435,33.031,43.811,36.521,46.542,51.387,53.012,50.398,45.858,47.165,54.844,61.028,60.516,64.825,70.249,72.685,66.592,69.444,114.438,92.144,107.278,109.724,82.887,100,128.43,118.84,141.16,125.07
        양배추,49.755,37.076,31.29,38.456,77.045,51.276,45.362,47.234,58.529,71.994,82.377,55.826,54.584,94.169,106.113,79.563,83.342,85.768,88.778,84.674,138.953,124.534,136.197,135.232,76.513,100,133.46,158.51,162.7,132.82
        미나리,,,,,,30.076,28.892,30.807,29.209,34.88,36.778,39.527,43.823,47.755,53.783,52.83,58.659,59.302,62.001,68.917,89.831,87.316,97.74,90.246,91.886,100,114.59,116.11,129.92,124.72
        깻잎,,,,,,40.3,41.684,45.972,41.11,42.967,42.752,48.277,53.196,56.032,57.335,62.442,73.498,75.845,74.674,77.884,88.485,92.031,98.949,95.814,99.745,100,111.23,109.42,123.76,115.8
        부추,,,,,,43.069,44.701,45.639,55.825,62.493,62.044,56.33,56.568,86.062,77.701,69.79,79.38,73.663,75.716,80.537,111.707,111.912,108.502,92.6,86.881,100,114.15,102.52,108.92,107.46
        무,24.965,27.232,44.143,47.727,48.683,54.415,63.921,54.053,65.268,75.204,95.185,82.239,93.432,118.235,110.898,99.547,105.379,105.371,87.693,85.163,168.855,138.534,119.738,115.059,85.256,100,148.44,155.65,181.73,136.16
