항목명1,총지수,  식료품 및 비주류 음료,  주류 및 담배,  의류 및 신발,"  주택, 수도, 전기 및 연료",  가정용품 및 가사 서비스,  보건,  교통,  통신,  오락 및 문화,  교육,  음식 및 숙박,  기타 상품 및 서비스
2015년 5월,100.03,100.79,99.93,99.79,99.45,100.15,100.04,100.36,99.73,100.29,100.02,99.8,100.08
2015년 6월,100.05,100.49,99.84,99.79,99.57,100.02,100.04,101.1,100.28,99.02,100.06,99.96,99.83
2015년 7월,100.23,100.23,100.15,99.84,99,99.9,100,102.29,100.28,101.47,100.12,100.19,99.75
2015년 8월,100.37,100.89,100.18,99.95,99.15,100.42,100.03,101.64,100.28,101.71,100.19,100.39,100.24
2015년 9월,100.11,100.69,100.12,100.34,99.55,99.99,99.8,99.95,99.85,100.21,100.34,100.51,99.81
2015년 10월,100.11,99.69,100.14,99.96,100.46,99.95,100.08,99.58,99.42,100.68,100.35,100.63,99.99
2015년 11월,99.92,98.37,100.02,101.08,100.58,100.34,99.99,98.92,99.61,99.11,100.37,100.76,100.38
2015년 12월,100.22,99.95,100.31,101.38,100.75,100.74,100,98.38,99.61,99.82,100.44,101.06,100.25
2016년 1월,100.39,100.76,100.49,100.74,99.97,100.91,100.99,97.68,99.27,100.08,100.86,101.4,102.89
2016년 2월,100.82,103.43,100.65,101.51,100.29,101.27,100.94,96.16,99.27,100.77,101.09,101.67,103.25
2016년 3월,100.56,102.25,100.67,101.51,99.55,101.73,100.93,95.71,99.27,100.35,101.42,101.98,103.54
2016년 4월,100.75,102.3,100.73,101.55,99.6,101.29,100.99,96.12,100.42,100.72,101.54,102.26,103.55
2016년 5월,100.81,101.24,100.74,102.02,99.34,101.06,101.01,96.9,100.42,102.4,101.67,102.4,103.81
2016년 6월,100.79,99.66,100.58,102.03,99.49,101.8,101.03,98.53,100.42,101.55,101.69,102.5,103.77
2016년 7월,100.6,99.65,100.54,101.3,97.35,101.93,101.01,99.19,100.42,103.75,101.74,102.74,103.44
2016년 8월,100.86,101.02,100.8,102.03,97.48,101.89,100.93,98.68,100.42,104.43,101.78,102.91,103.42
2016년 9월,101.46,105.94,100.62,102.05,97.53,102.13,100.97,98.27,100.49,103.16,101.91,102.92,103.54
2016년 10월,101.6,104.48,100.71,102.14,99.83,101.62,100.91,98.31,100.53,102.3,101.95,103.02,103.4
2016년 11월,101.45,102.93,100.87,102.11,100.4,101.46,101.03,98.48,100.05,101.4,101.97,103.07,103.59
2016년 12월,101.56,104.02,100.85,102.56,99.41,101.54,101.09,99.4,100.05,101.22,102.01,103.27,103.1
2017년 1월,102.64,107.16,101.29,102.03,99.71,100.74,102.13,101.4,100.01,102.8,102.3,103.75,106.43
2017년 2월,102.92,107.26,102.04,102.66,100.28,101.89,102.13,101.98,100.01,101.91,102.46,104.02,106.54
2017년 3월,102.85,106.32,102.11,102.69,100.62,102.52,102.03,101.79,99.27,101.57,102.71,104.31,106.58
2017년 4월,102.72,105.19,102.3,101.73,100.71,102.24,101.71,101.32,100.06,103.15,102.8,104.49,106.12
2017년 5월,102.83,104.85,102.12,103.06,101.06,102.85,101.74,101.25,100.06,102.07,102.83,104.8,106.57
2017년 6월,102.61,104.09,102.31,103.19,101.15,103.58,102.22,100.55,100.32,100.08,102.86,104.87,106.01
2017년 7월,102.78,104.39,102.38,102.49,101.15,102.43,102.27,99.95,100.9,103.21,102.87,105.2,106.27
2017년 8월,103.37,107.5,102.45,103.22,101.28,102.7,102.28,100.28,100.9,103.33,102.91,105.5,106.18
2017년 9월,103.49,108.84,102.49,103.28,101.32,102.99,101.73,100.87,100.91,101.83,102.94,105.36,106.2
2017년 10월,103.39,106.16,102.36,103.28,101.56,103.56,101.57,101.8,100.8,102.82,102.95,105.57,106.5
2017년 11월,102.62,103.2,102.32,103.23,100.69,103.17,101.31,101.96,100.69,99.96,102.98,105.67,106.1
2017년 12월,102.99,104.44,102.29,103.94,100.88,103.33,101.45,102.3,100.58,100.02,103.01,106.07,106.21
2018년 1월,103.42,106,102.48,103.34,101.06,103.5,102.51,102.8,99.89,100.45,103.4,106.55,106.11
2018년 2월,104.21,109.07,102.58,103.96,101.63,104.33,102.55,103.07,99.76,101.87,103.69,106.94,106.52
